Year,Bank,Sample,L,L_class
2018,korg,3,2,NA
2018,korg,3,2,NA
2018,korg,3,2,NA
2018,korg,3,2,NA
2018,korg,3,2,NA
2018,korg,3,2,NA
2018,korg,3,2,NA
2018,korg,3,2,NA
2018,korg,3,2,NA
2018,korg,3,2,NA
2018,korg,3,2,NA
2018,korg,3,2,NA
2018,korg,3,2,NA
2018,korg,3,2,NA
2018,korg,3,2,NA
2018,korg,3,2,NA
2018,korg,3,2,NA
2018,korg,3,2,NA
2018,korg,3,2,NA
2018,korg,3,2,NA
2018,korg,3,2,NA
2018,korg,3,2,NA
2018,korg,3,2,NA
2018,korg,3,2,NA
2018,korg,3,2,NA
2018,korg,3,2,NA
2018,korg,3,2,NA
2018,korg,3,2,NA
2018,korg,3,2,NA
2018,korg,3,2,NA
2018,korg,3,2,NA
2018,korg,3,2,NA
2018,korg,3,2,NA
2018,korg,3,2,NA
2018,korg,3,2,NA
2018,korg,3,2,NA
2018,korg,3,2,NA
2018,korg,3,2,NA
2018,korg,3,2,NA
2018,korg,3,2,NA
